"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_author","comment_status","sku","downloadable","virtual","stock","regular_price","sale_price","weight","length","width","height","tax_class","visibility","stock_status","backorders","manage_stock","tax_status","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","sold_individually","low_stock_amount","purchase_note","images","downloadable_files","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","tax:product_color","attribute:Gift Card Amount","attribute_data:Gift Card Amount","attribute_default:Gift Card Amount","attribute:pa_colors","attribute_data:pa_colors","attribute_default:pa_colors","attribute:pa_ewd_uwcf_colors","attribute_data:pa_ewd_uwcf_colors","attribute_default:pa_ewd_uwcf_colors","attribute:pa_ewd_uwcf_sizes","attribute_data:pa_ewd_uwcf_sizes","attribute_default:pa_ewd_uwcf_sizes","attribute:pa_semi-precious-stones","attribute_data:pa_semi-precious-stones","attribute_default:pa_semi-precious-stones"
"BLISS-202","bliss-202","756","<ul>
 	<li><strong>Semi-precious Stones:</strong> Turquoise</li>
 	<li><strong>Other materials:</strong> Brass, Silk tassels</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 9,5cm</li>
</ul>","","publish","0","2020-01-12 11:05:10","1","closed","","no","no","1","50","","","","","","","","instock","notify","yes","none","612|750","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/BLISS-202a.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-202c.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-202b.jpg","","simple","","Collections > Bliss|All Products|All Products > Earrings","","","Black|Turquoise","","","","","","","Black|Turquoise","2||","","","2||","","","",""
"GLEE-201","glee-201","763","<ul>
 	<li><strong>Semi-precious Stones:</strong> Goldstone, Mother of Pearl</li>
 	<li><strong>Pins and Ear Nuts:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 5cm</li>
</ul>","","publish","0","2020-01-12 12:23:12","1","closed","","no","no","1","60","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GLEE-201a.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-201c.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-201b.jpg","","simple","","Collections > Glee|All Products|All Products > Earrings","","","Black|Brown|Dark Blue","","","","","","","Black|Brown|Dark Blue","2||","","","2||","","","",""
"EUPHORIA-208","euphoria-208","785","<ul>
 	<li><strong>Semi-precious Stones:</strong> Marble</li>
 	<li><strong>Other materials:</strong> Brass, Silk tassels</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 10,5cm</li>
</ul>","","publish","0","2020-01-14 13:24:14","1","closed","","no","no","1","35","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-208a.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-208c.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-208b.jpg","","simple","","Collections > Euphoria|All Products|All Products > Earrings","","","Beige|Black|White","","","","","","","Beige|Black|White","2||","","","2||","","","",""
"EUPHORIA-204","euphoria-204","791","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Howlite</li>
 	<li><strong>Other materials:</strong> Glass</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 6,5cm</li>
</ul>","","publish","0","2020-01-14 13:39:19","1","closed","","no","no","1","45","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-204a.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-204c.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-204b.jpg","","simple","","Collections > Euphoria|All Products|All Products > Earrings","","","Beige|Black|White","","","","","","","Beige|Black|White","1||","","","1||","","","",""
"FELICITY-205","felicity-205","802","<ul>
 	<li><strong>Semi-precious Stones:</strong> Jade, Hematite</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 6cm</li>
</ul>","","publish","0","2020-01-14 13:45:07","1","closed","","no","no","1","50","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/FELICITY-205a.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-205c.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-205b.jpg","","simple","","Collections > Felicity|All Products|All Products > Earrings","","","Olive","","","","","","","Olive","2||","","","2||","","","",""
"GLEE-206","glee-206","807","<ul>
 	<li><strong>Semi-precious Stones:</strong> Lapis Lazouli, Hematite</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 6cm</li>
</ul>","","publish","0","2020-01-14 13:50:19","1","closed","","no","no","1","45","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GLEE-206a.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-206c.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-206b.jpg","","simple","","Collections > Glee|All Products|All Products > Earrings","","","Dark Blue|Ultramarine","","","","","","","Dark Blue|Ultramarine","1||","","","1||","","","",""
"BLISS-203","bliss-203","812","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Lava, Howlite</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 5cm</li>
</ul>","","publish","0","2020-01-14 14:57:19","1","closed","","no","no","1","50","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/BLISS-203a.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-203c.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-203b.jpg","","simple","","Collections > Bliss|All Products|All Products > Earrings","","","Black|Turquoise","","","","","","","Black|Turquoise","1||","","","1||","","","",""
"BLISS-101","bliss-101","903","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Howlite</li>
 	<li><strong>Other materials:</strong> Wood</li>
 	<li><strong>Chain:</strong> Handmade 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 8cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 30cm</li>
</ul>","","publish","0","2020-01-19 12:40:34","1","closed","","no","no","1","80","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","yes","","","https://www.precious-joy.com/wp-content/uploads/BLISS-101c-scaled.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-101d.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-101b.jpg | https://www.precious-joy.com/wp-content/uploads/BLISS-101a-scaled.jpg","","simple","","Collections > Bliss|All Products|All Products > Necklaces","","","Black|Turquoise","","","","","","","Black|Turquoise","3||","","","3||","","Hematite|Howlite","0|1|0",""
"GLEE-101","glee-104-2","934","<ul>
 	<li><strong>Semi-precious Stones:</strong> Lapis Lazouli</li>
 	<li><strong>Other materials:</strong> Brass, Wood, Silk tassels</li>
 	<li><strong>Chain:</strong> Gunmetal Bronze</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 10cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 43cm</li>
</ul>","","publish","0","2020-01-19 13:31:36","1","closed","","no","no","1","75","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GLEE-101b.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-101d.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-101c-scaled.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-101a-scaled.jpg","","simple","","Collections > Glee|All Products|All Products > Necklaces","","","Brown|Orange|Ultramarine","","","","","","","Brown|Orange|Ultramarine","1||","","","1||","","","",""
"GRACE-100","grace-100","940","<ul>
 	<li><strong>Semi-precious Stones:</strong> Jasper, Hematite, Howlite</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Chain:</strong> Gunmetal Bronze</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 8cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 40cm</li>
</ul>","","publish","0","2020-01-19 13:43:47","1","closed","","no","no","1","115","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GRACE-100a.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-100d.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-100b.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-100c-scaled.jpg","","simple","","Collections > Grace|All Products|All Products > Necklaces","","","Gray|White","","","","","","","Gray|White","2||","","","2||","","Hematite|Howlite|Jasper","1|0|0",""
"FELICITY-202","felicity-202","1397","<ul>
 	<li><strong>Semi-precious Stones:</strong> Jade, Hematite</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 9cm</li>
</ul>","","publish","0","2020-02-01 20:43:31","1","closed","","no","no","1","70","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/FELICITY-202a.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-202c.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-202b.jpg","","simple","","Collections > Felicity|All Products|All Products > Earrings","","","Olive","","","","","","","Olive","1||","","","1||","","","",""
"DELIGHT-202","delight-202","1407","<ul>
 	<li><strong>Semi-precious Stones:</strong> Mother of Pearl</li>
 	<li><strong>Other materials:</strong> Brass, Bronze, Rooster feathers</li>
 	<li><strong>Pins &amp; Ear Nuts:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 16cm</li>
</ul>","","publish","0","2020-02-01 21:50:12","1","closed","","no","no","1","75","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/DELIGHT-202a.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-202c.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-202b.jpg","","simple","","Collections > Delight|All Products|All Products > Earrings","","","Black|Green","","","","","","","Black|Green","2||","","","2||","","","",""
"EUPHORIA-200","euphoria-200","1412","<ul>
 	<li><strong>Semi-precious Stones:</strong> Mother of Pearl</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Studs:</strong> 18K Gold-Plated Titanium</li>
 	<li><strong>Ear Nuts:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 7cm</li>
</ul>","","publish","0","2020-02-01 22:05:07","1","closed","","no","no","1","80","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-200a.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-200c.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-200b.jpg","","simple","","Collections > Euphoria|All Products|All Products > Earrings","","","Black|Gray","","","","","","","Black|Gray","2||","","","2||","","","",""
"FELICITY-203","felicity-203","1416","<ul>
 	<li><strong>Semi-precious Stones:</strong> Jade, Hematite</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 9cm</li>
</ul>","","publish","0","2020-02-01 22:14:38","1","closed","","no","no","1","65","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/FELICITY-203a.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-203c.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-203b.jpg","","simple","","Collections > Felicity|All Products|All Products > Earrings","","","Olive","","","","","","","Olive","1||","","","1||","","","",""
"DELIGHT-203","delight-203","1500","<ul>
 	<li><strong>Semi-precious Stones:</strong> Serpentine, Hematite, Howlite</li>
 	<li><strong>Other materials:</strong> Brass</li>
 	<li><strong>Pins &amp; Ear Nuts:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 8,5cm</li>
</ul>","","publish","0","2020-02-02 20:50:46","1","closed","","no","no","1","75","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/DELIGHT-203a.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-203c.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-203b.jpg","","simple","","Collections > Delight|All Products|All Products > Earrings","","","Black|Green","","","","","","","Black|Green","1||","","","1||","","","",""
"DELIGHT-204","delight-204","1502","<ul>
 	<li><strong>Semi-precious Stones:</strong> Zebra Jasper, Howlite</li>
 	<li><strong>Other materials:</strong> Brass, Silk tassels</li>
 	<li><strong>Studs &amp; Ear Nuts:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 9cm</li>
</ul>","","publish","0","2020-02-02 20:51:41","1","closed","","no","no","1","70","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/DELIGHT-204a.jpg | https://www.precious-joy.com/wp-content/uploads/DELIGHT-204c.jpg","","simple","","Collections > Delight|All Products|All Products > Earrings","","","Black|Green|White","","","","","","","Black|Green|White","2||","","","2||","","","",""
"GRACE-202","grace-202","1504","<ul>
 	<li><strong>Semi-precious Stones:</strong> Rose Quartz, Jasper</li>
 	<li><strong>Other materials:</strong> Brass, Silk tassels</li>
 	<li><strong>Studs &amp; Ear Nuts:</strong> 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 10cm</li>
</ul>","","publish","0","2020-02-02 20:52:51","1","closed","","no","no","1","80","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GRACE-202a.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-202c.jpg | https://www.precious-joy.com/wp-content/uploads/GRACE-202b.jpg","","simple","","Collections > Grace|All Products|All Products > Earrings","","","Gray|Pink","","","","","","","Gray|Pink","2||","","","2||","","Jasper|Rose Quartz","0|0|0",""
"GLEE-203","glee-203","1506","<ul>
 	<li><strong>Semi-precious Stones:</strong> Goldstone, Hematite</li>
 	<li><strong>Hooks:</strong> 18K Gold-Plated Brass</li>
 	<li><strong>Length:</strong> 7cm</li>
</ul>","","publish","0","2020-02-02 20:54:17","1","closed","","no","no","1","45","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/GLEE-203a.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-203c.jpg | https://www.precious-joy.com/wp-content/uploads/GLEE-203b.jpg","","simple","","Collections > Glee|All Products|All Products > Earrings","","","Dark Blue","","","","","","","Dark Blue","1||","","","1||","","","",""
"EUPHORIA-106","euphoria-106","1508","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Mother of Pearl</li>
 	<li><strong>Other materials:</strong> Brass, Aluminum, Ostrich feathers</li>
 	<li><strong>Chain:</strong> Handmade 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 10cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 47cm</li>
</ul>","","publish","0","2020-02-05 09:22:26","1","closed","","no","no","1","70","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-106b.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-106c.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-106a.jpg","","simple","","Collections > Euphoria|All Products|All Products > Necklaces","","","Black|Gray|Pink","","","","","","","Black|Gray|Pink","2||","","","2||","","","",""
"EUPHORIA-109","euphoria-109","1522","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite</li>
 	<li><strong>Chain:</strong> Gunmetal Bronze</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 10cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 45cm</li>
</ul>","","publish","0","2020-02-03 20:50:13","1","closed","","no","no","1","50","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-109a.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-109c.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-109b.jpg","","simple","","Collections > Euphoria|All Products|All Products > Necklaces","","","Black|Gray","","","","","","","Black|Gray","2||","","","2||","","","",""
"FELICITY-103","felicity-103","1525","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Black Onyx, Jade</li>
 	<li><strong>Chain:</strong> Diamond-cut black and gold Bronze</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 10cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 30cm</li>
</ul>","","publish","0","2020-02-03 21:05:37","1","closed","","no","no","1","80","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/FELICITY-103c.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-103d.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-103b.jpg | https://www.precious-joy.com/wp-content/uploads/FELICITY-103a.jpg","","simple","","Collections > Felicity|All Products|All Products > Necklaces","","","Black|Olive","","","","","","","Black|Olive","1||","","","1||","","","",""
"EUPHORIA-102","euphoria-102","1530","<ul>
 	<li><strong>Semi-precious Stones:</strong> Hematite, Agate, Black Onyx</li>
 	<li><strong>Other materials:</strong> Brass, Glass</li>
 	<li><strong>Chain:</strong> Handmade 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Extension chain &amp; Clasp:</strong> 10cm, 18K Gold-Plated Stainless Steel</li>
 	<li><strong>Length:</strong> 35cm</li>
</ul>","","publish","0","2020-02-03 21:25:07","1","closed","","no","no","1","85","","","","","","","","instock","notify","yes","none","","","","","","-1","-1","","","no","","","https://www.precious-joy.com/wp-content/uploads/EUPHORIA-102c-scaled.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-102d.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-102b.jpg | https://www.precious-joy.com/wp-content/uploads/EUPHORIA-102a-scaled.jpg","","simple","","Collections > Euphoria|All Products|All Products > Necklaces","","","Black|Dalmatian","","","","","","","Black|Dalmatian","2||","","","2||","","","",""
